8	-1	-1	-1	-1	-1	6	19	6	-1	16	16	-1	-1	15	16	10	-1	-1	-1	9	14	14	12	7	3	15	-1	-1	2	-1	-1	-1	13	-1	7	13	20	-1	-1	-1	10	-1	1	-1	-1	-1	-1	13	16	-1	-1	1	-1	-1	-1	18	-1	5	-1	13	-1	-1	9	-1	-1	8	12	-1	-1	7	-1	7	-1	10	10	15	-1	-1	-1	8	11	-1	-1	-1	-1	19	-1	-1	-1	5	-1	-1	-1	-1	-1	9	18	-1	-1
11	20	-1	15	-1	-1	-1	-1	13	16	3	-1	-1	11	1	-1	19	9	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	8	18	15	-1	4	-1	8	16	-1	-1	-1	-1	-1	-1	16	13	7	-1	-1	-1	13	6	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	2	-1	-1	5	12	-1	-1	7	-1	-1	-1	7	4	13	9	-1	8	-1	-1	7	13	12	-1	12	4	-1	19	-1	-1	-1	10	-1	-1	-1	-1	7	3	19	-1	-1
-1	7	7	10	-1	11	3	-1	-1	8	-1	-1	15	-1	-1	18	-1	7	5	-1	-1	-1	-1	9	-1	8	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	8	15	-1	-1	16	-1	-1	-1	-1	12	-1	-1	6	7	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	18	7	-1	1	20	-1	-1	-1	-1	-1	2	-1	-1	-1	19	-1	16	6	-1	-1	17	-1	5	17	8	9
6	-1	17	16	18	-1	3	-1	2	-1	5	2	11	-1	18	-1	-1	-1	-1	5	-1	-1	2	-1	-1	6	20	3	-1	-1	11	-1	-1	10	7	16	-1	-1	-1	8	-1	3	-1	-1	-1	-1	5	-1	-1	11	5	-1	-1	18	-1	12	-1	-1	8	-1	-1	-1	15	-1	-1	-1	-1	18	-1	-1	-1	9	-1	-1	20	-1	9	20	-1	-1	-1	-1	14	12	-1	-1	-1	10	2	17	14	2	-1	-1	-1	2	-1	-1	-1	-1
3	-1	-1	-1	-1	-1	15	-1	-1	5	-1	-1	-1	-1	3	3	-1	13	12	-1	18	-1	-1	-1	-1	15	16	-1	-1	10	-1	-1	20	1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	6	18	-1	7	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	12	1	20	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	1	15	-1	-1	7	20	5	-1	17	15	-1	19	-1	2	11	5	-1	-1	20	-1	-1	2	-1	-1	16	8
20	-1	12	-1	4	15	2	17	13	10	-1	13	-1	18	6	16	-1	3	-1	1	-1	-1	19	-1	-1	-1	-1	-1	17	20	-1	-1	-1	-1	-1	-1	-1	1	7	-1	-1	-1	3	-1	-1	20	1	9	18	-1	-1	-1	-1	5	8	-1	8	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	13	6	-1	-1	15	4	-1	16	-1	15	-1	4	14	20	-1	-1	15	-1	-1	-1	12	11	-1	11	15	19	-1	-1	-1	-1	-1
-1	10	-1	-1	-1	14	-1	3	-1	-1	-1	-1	3	-1	2	13	-1	15	-1	17	5	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	14	1	17	-1	4	-1	-1	17	19	-1	-1	-1	-1	13	-1	-1	-1	14	-1	15	-1	-1	-1	-1	6	-1	12	-1	-1	-1	6	-1	9	-1	-1	11	-1	-1	-1	1	-1	8	-1	-1	18	-1	14	6	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	11	12	-1	-1	3	3	-1	-1	-1	17
-1	-1	12	9	19	14	13	20	8	-1	-1	17	-1	-1	11	-1	12	-1	7	9	-1	-1	-1	-1	12	-1	-1	-1	-1	6	-1	-1	3	8	16	-1	16	-1	19	-1	16	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	8	-1	13	2	7	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	4	18	-1	-1	7	-1	20	-1	-1	10	-1	-1	-1	3	8	15	7	-1	-1	20	12	-1	-1	-1	-1	5	4	-1	-1	8	-1	3
15	7	-1	-1	13	13	-1	-1	-1	8	20	13	15	-1	2	-1	-1	-1	-1	1	17	-1	13	-1	17	-1	13	8	-1	9	4	16	8	-1	15	-1	17	-1	10	7	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	2	20	-1	-1	-1	8	-1	20	-1	6	-1	-1	-1	17	-1	16	19	-1	-1	-1	3	-1	-1	9	15	-1	9	-1	-1	3	-1	-1	13	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	10	-1	2	-1	-1
17	-1	11	7	-1	20	-1	7	-1	-1	-1	-1	5	-1	-1	20	-1	-1	14	-1	-1	-1	4	11	-1	8	3	12	7	-1	7	5	3	8	-1	17	-1	-1	-1	8	6	18	7	16	-1	20	16	-1	-1	-1	16	-1	-1	-1	-1	-1	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	13	-1	-1	11	-1	-1	3	15	-1	16	3	14	13	-1	11	18	-1	-1	-1	11	15	-1	20	-1	17	-1	2	1	-1	-1	4
-1	-1	13	-1	-1	-1	-1	1	11	-1	-1	-1	7	-1	18	15	9	6	-1	2	1	-1	-1	-1	19	-1	3	4	-1	-1	4	10	13	-1	-1	16	-1	-1	14	20	-1	-1	11	-1	17	15	-1	-1	18	-1	-1	-1	-1	9	5	-1	-1	-1	14	9	-1	17	-1	-1	-1	-1	-1	16	14	-1	-1	13	-1	-1	16	-1	-1	-1	-1	-1	6	13	19	2	-1	-1	-1	17	4	-1	-1	7	-1	6	-1	-1	-1	-1	-1	3
-1	-1	-1	15	-1	10	-1	12	5	1	5	3	18	-1	17	-1	19	-1	-1	8	-1	15	16	7	9	7	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	8	-1	-1	-1	-1	10	-1	6	20	7	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	18	20	18	-1	-1	13	18	12	3	13	1	3	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	5	-1	7	-1
-1	5	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	20	-1	14	-1	1	-1	-1	-1	20	16	-1	-1	6	-1	-1	-1	16	-1	-1	-1	-1	-1	13	-1	-1	-1	6	-1	-1	13	-1	11	-1	-1	8	9	-1	3	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	15	10	-1	-1	-1	-1	-1	5	-1	-1	6	8	-1	8	6	9	-1	-1	8	17	12	-1	-1	-1	9	-1	19	-1	-1	3	16	4	-1	-1
-1	9	-1	-1	6	-1	-1	3	14	-1	9	11	-1	-1	20	-1	-1	16	19	-1	14	-1	-1	13	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	14	-1	-1	16	3	-1	-1	-1	3	-1	-1	-1	-1	8	2	-1	-1	-1	20	8	-1	-1	-1	-1	-1	11	3	19	-1	-1	-1	15	-1	20	14	-1	5	-1	-1	1	-1	6	12	-1	-1	-1	17	17	-1	-1	-1	-1	-1	11	-1	-1	13	-1	-1	-1	16	18	-1	-1	-1	-1
6	6	-1	2	-1	10	-1	-1	-1	-1	6	19	-1	10	13	3	16	-1	-1	-1	7	1	-1	12	20	18	12	-1	-1	-1	14	-1	-1	-1	-1	13	-1	-1	-1	12	-1	14	-1	-1	-1	12	14	-1	-1	-1	6	-1	2	12	7	-1	18	-1	-1	-1	-1	-1	18	16	-1	10	20	-1	-1	-1	-1	8	-1	17	14	20	-1	-1	-1	-1	-1	9	11	-1	19	-1	11	17	2	5	-1	14	-1	-1	-1	11	19	7	-1	-1
5	6	-1	19	-1	9	10	-1	-1	-1	-1	-1	-1	8	13	-1	-1	20	12	9	-1	6	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	1	7	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	14	-1	-1	14	-1	-1	17	-1	16	2	-1	11	-1	-1	18	6	6	-1	10	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	20	-1	17	-1	-1
-1	-1	16	19	14	4	-1	-1	-1	-1	-1	3	14	-1	19	5	-1	-1	1	-1	4	-1	-1	9	-1	13	-1	-1	-1	17	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	10	-1	-1	10	17	-1	-1	-1	-1	20	20	-1	-1	-1	-1	-1	13	-1	18	-1	13	-1	-1	-1	-1	-1	17	-1	-1	12	-1	1	-1	-1	14	-1	-1	-1	-1	9	9	15	-1	-1	7	-1	-1	8	-1	-1	16	17	-1	-1	14	12	-1	-1
18	15	-1	12	-1	19	19	5	2	7	14	15	17	-1	6	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	17	-1	-1	-1	-1	-1	-1	11	-1	7	-1	-1	2	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	6	-1	-1	7	-1	-1	-1	-1	6	1	-1	3	-1	-1	1	-1	5	-1	-1	-1	-1	6	10	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	9	-1	-1	-1	-1	-1	8	-1
-1	-1	1	-1	-1	5	9	-1	1	-1	19	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	13	16	8	20	12	6	6	-1	3	-1	-1	-1	-1	12	10	17	-1	-1	-1	15	-1	19	-1	7	13	9	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	8	16	12	6	-1	-1	-1	5	-1	10	19	4	-1	-1	3	-1	-1	9	18	-1	-1	2	-1	-1	-1	9	-1	1	-1	16	18	16	-1
5	-1	6	5	5	17	-1	-1	20	-1	4	12	-1	-1	-1	-1	20	-1	-1	-1	-1	11	12	-1	1	-1	20	-1	-1	19	19	-1	-1	-1	-1	7	-1	1	-1	18	-1	-1	-1	-1	-1	7	3	-1	18	4	-1	-1	-1	7	4	-1	-1	20	-1	8	7	-1	11	-1	-1	-1	-1	-1	2	-1	10	-1	-1	-1	-1	-1	3	7	-1	-1	-1	13	-1	1	6	-1	-1	14	16	-1	-1	20	9	-1	-1	-1	-1	-1	-1	17
1	-1	-1	-1	-1	-1	2	20	-1	-1	-1	-1	3	11	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	5	-1	19	-1	-1	2	1	-1	-1	19	1	-1	13	-1	10	-1	20	17	6	8	18	10	-1	5	6	-1	13	-1	-1	-1	15	-1	-1	9	-1	-1	-1	5	1	17	-1	1	-1	-1	-1	-1	8	16	18	8	-1	10	2	-1	-1	20	-1	7	-1	6	-1	-1	11	7	18	-1	9	-1	-1	-1	7	-1
17	18	-1	-1	-1	-1	-1	-1	9	8	-1	19	-1	-1	14	4	17	-1	2	18	-1	15	-1	-1	-1	10	-1	7	-1	-1	11	16	20	-1	9	5	2	17	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	10	9	18	20	1	4	-1	20	15	-1	16	18	-1	-1	14	11	-1	-1	5	-1	8	-1	-1	-1	-1	-1	10	-1	20	-1	-1	10	-1	-1	7	-1	-1	12	4	-1	-1	17	-1	3	9	-1	10
-1	-1	-1	-1	3	-1	10	-1	-1	-1	1	6	-1	-1	-1	13	9	-1	-1	-1	-1	-1	12	8	18	18	3	-1	-1	-1	-1	2	-1	-1	-1	7	3	-1	10	3	-1	11	9	-1	-1	-1	-1	-1	20	-1	-1	5	14	10	-1	7	-1	15	-1	18	-1	-1	3	-1	20	-1	6	20	-1	-1	-1	-1	-1	16	-1	-1	16	-1	-1	-1	-1	-1	16	-1	8	13	10	2	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	3
-1	-1	12	-1	-1	2	-1	-1	-1	-1	17	18	-1	8	-1	1	15	-1	4	-1	6	-1	6	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	7	-1	9	-1	-1	-1	5	20	-1	-1	-1	-1	-1	-1	11	7	3	1	-1	15	8	-1	9	-1	16	-1	-1	9	15	-1	18	6	12	-1	-1	14	6	10	3	18	-1	16	-1	-1	-1	-1	-1	-1	7	-1	10	18	-1	-1	-1	6	-1	18	-1	20	5	-1	16	7	20	-1
10	9	-1	-1	5	3	7	-1	-1	14	10	7	16	-1	-1	19	-1	-1	-1	-1	-1	-1	17	12	-1	8	-1	-1	-1	6	-1	-1	10	20	-1	-1	1	-1	-1	4	1	12	-1	-1	2	-1	15	-1	-1	-1	6	-1	4	-1	-1	1	20	-1	-1	14	10	-1	-1	-1	-1	8	-1	-1	18	-1	-1	19	7	8	-1	-1	-1	-1	-1	20	19	13	-1	2	-1	7	-1	-1	-1	11	-1	3	-1	-1	-1	-1	-1	4	-1	-1
1	-1	-1	-1	-1	-1	-1	-1	8	18	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	5	3	-1	-1	14	-1	-1	-1	8	-1	-1	-1	20	-1	14	12	-1	4	18	-1	-1	-1	-1	13	-1	15	-1	8	-1	-1	-1	-1	12	-1	-1	20	-1	7	15	6	-1	-1	16	-1	-1	-1	-1	-1	6	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	5	-1	-1	-1	-1	-1	1	15	4	-1	-1	-1	-1	-1	-1	-1
5	7	8	-1	-1	-1	-1	-1	-1	6	-1	-1	1	-1	19	14	6	-1	7	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	20	16	11	4	-1	17	-1	-1	17	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	7	-1	-1	20	-1	-1	-1	3	3	-1	13	8	-1	-1	6	-1	-1	-1	-1	10	10	-1	-1	20	-1	-1	-1	4	19	6	-1	-1	8	-1	-1	-1	-1	-1	8	-1	18	-1	15	-1	-1	-1
13	18	-1	-1	-1	15	-1	16	4	-1	-1	13	20	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	16	13	14	8	7	14	-1	-1	-1	-1	-1	18	-1	20	20	12	13	-1	-1	-1	17	-1	-1	-1	12	-1	18	7	8	13	-1	-1	5	4	-1	-1	-1	14	6	18	6	17	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	19	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	9	4	-1	-1	3	-1	2
9	17	-1	17	-1	-1	2	16	-1	-1	-1	11	-1	-1	-1	-1	-1	13	-1	1	-1	-1	20	-1	-1	5	-1	11	-1	-1	2	20	10	-1	-1	17	10	15	11	-1	-1	-1	4	-1	-1	-1	-1	-1	9	6	1	-1	-1	11	12	-1	-1	-1	14	-1	3	-1	13	13	12	9	17	9	10	9	-1	3	13	-1	20	-1	-1	13	13	4	7	-1	-1	-1	3	17	-1	18	-1	4	-1	1	-1	-1	17	16	-1	9	11	-1
-1	-1	18	10	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	19	1	-1	6	9	-1	-1	-1	-1	14	2	16	-1	4	5	-1	-1	17	-1	-1	11	-1	-1	-1	-1	2	10	-1	18	17	18	-1	-1	13	13	-1	2	-1	-1	-1	-1	14	17	20	-1	8	13	-1	19	3	-1	-1	11	4	9	-1	-1	-1	-1	-1	16	7	-1	-1	19	-1	-1	-1	6	20	17	17	-1	-1	12	-1	-1	-1	16	-1	1	12	-1	-1	11
-1	-1	-1	13	5	20	3	-1	14	20	-1	4	18	-1	-1	4	19	7	-1	6	-1	9	8	-1	-1	-1	-1	-1	11	-1	18	-1	-1	-1	17	-1	-1	1	-1	-1	11	-1	-1	10	-1	12	-1	-1	7	-1	-1	-1	-1	-1	12	-1	12	15	-1	-1	15	5	11	2	13	-1	-1	-1	-1	15	-1	-1	1	20	-1	-1	-1	2	-1	6	-1	-1	6	-1	-1	-1	12	-1	14	-1	-1	-1	-1	6	-1	-1	15	-1	18	-1
-1	-1	19	-1	-1	-1	2	10	-1	-1	-1	6	2	-1	-1	2	-1	6	-1	-1	9	-1	16	-1	8	9	-1	12	20	20	-1	-1	10	-1	-1	-1	-1	19	-1	20	1	5	-1	-1	1	-1	6	-1	-1	18	-1	-1	19	-1	4	2	-1	-1	-1	-1	7	-1	18	-1	1	8	-1	19	-1	-1	-1	9	6	-1	10	8	10	-1	5	-1	-1	3	20	-1	-1	-1	3	-1	-1	4	-1	-1	2	-1	-1	19	-1	4	-1	-1
9	5	-1	14	9	-1	9	5	6	-1	-1	-1	-1	19	-1	18	-1	1	6	-1	9	7	14	-1	5	-1	-1	-1	-1	9	14	20	11	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	13	16	-1	-1	-1	-1	19	15	4	-1	-1	-1	-1	3	17	-1	-1	-1	-1	-1	18	-1	7	-1	13	18	7	-1	-1	-1	17	17	-1	-1	-1	-1	10	-1	-1	-1	-1	15	19	11	12	11	13	-1	-1
-1	11	-1	-1	20	-1	7	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	3	-1	5	-1	-1	16	-1	10	-1	-1	-1	-1	-1	-1	4	9	9	-1	-1	-1	19	-1	-1	-1	8	-1	8	9	-1	10	7	-1	-1	-1	-1	-1	19	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	11	-1	7	-1	-1	-1	-1	-1	10	-1	-1	-1	8	-1	-1	17	12	3	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	18	-1	15	-1	-1
15	-1	6	-1	8	16	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	3	-1	8	8	18	9	-1	-1	17	-1	-1	8	-1	-1	-1	8	-1	-1	19	-1	2	-1	-1	-1	11	-1	-1	-1	17	13	-1	-1	-1	10	2	-1	-1	20	-1	-1	17	-1	-1	11	17	-1	-1	-1	-1	14	6	7	2	-1	-1	-1	-1	-1	18	-1	-1	-1	10	-1	-1	11	15	-1	-1	17	15	3	-1	-1	14	-1	-1
-1	-1	-1	-1	14	-1	5	4	11	-1	20	-1	-1	-1	12	-1	8	-1	-1	-1	-1	18	6	-1	-1	14	-1	7	5	-1	-1	-1	6	-1	-1	13	-1	-1	8	-1	-1	9	6	12	4	1	-1	13	-1	5	15	20	-1	-1	-1	19	2	11	-1	-1	12	-1	11	4	-1	-1	-1	2	-1	-1	-1	2	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	11	-1	4	-1	6	-1	-1	-1	-1	-1	-1	-1	-1
9	-1	-1	11	19	-1	-1	-1	9	-1	12	-1	13	-1	18	4	12	-1	3	-1	-1	15	-1	4	-1	13	-1	11	5	-1	-1	18	20	16	8	-1	-1	-1	-1	20	-1	2	17	-1	-1	-1	1	18	1	-1	-1	11	-1	-1	-1	-1	17	5	12	-1	-1	-1	15	-1	-1	-1	-1	5	-1	8	-1	-1	-1	-1	-1	-1	6	11	-1	-1	-1	4	12	-1	4	-1	-1	15	4	-1	-1	-1	18	10	20	-1	-1	5	-1	3
-1	5	19	-1	-1	6	-1	12	1	-1	-1	8	4	19	1	6	4	-1	19	-1	17	-1	-1	11	11	1	-1	5	-1	-1	19	-1	-1	-1	-1	14	3	2	8	-1	7	4	-1	-1	1	-1	2	-1	-1	-1	-1	19	-1	5	10	16	14	-1	11	11	-1	-1	-1	-1	-1	9	13	-1	-1	-1	4	-1	-1	11	12	15	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	5	-1	-1	-1	-1	-1	-1
-1	-1	5	-1	-1	11	-1	-1	-1	19	11	7	-1	15	-1	13	-1	12	-1	-1	8	-1	11	10	-1	-1	7	7	-1	-1	-1	2	9	-1	-1	18	-1	-1	-1	16	20	18	-1	-1	12	-1	14	-1	-1	-1	1	-1	-1	-1	-1	6	2	-1	-1	12	-1	-1	20	7	-1	-1	-1	14	-1	-1	-1	-1	20	7	4	-1	18	3	15	-1	-1	1	-1	-1	-1	-1	14	-1	6	-1	13	-1	-1	-1	3	-1	14	2	-1	-1
-1	-1	-1	-1	-1	-1	-1	3	13	-1	-1	17	-1	16	15	-1	-1	-1	-1	4	-1	-1	10	10	6	-1	18	12	3	16	4	17	-1	4	-1	3	14	-1	16	9	-1	-1	13	-1	9	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	20	11	-1	-1	-1	-1	-1	2	19	-1	-1	14	16	9	9	9	18	-1	-1	-1	-1	4	8	11	-1	-1	-1	2	15	-1	17	-1	18	-1	-1	-1	-1	1	-1	-1	-1	15	8
-1	8	3	11	3	-1	17	-1	-1	8	-1	-1	18	-1	10	-1	11	-1	-1	-1	2	-1	-1	8	-1	-1	7	2	11	-1	-1	-1	-1	-1	-1	15	14	-1	-1	15	-1	15	12	-1	7	9	4	-1	-1	11	10	-1	-1	-1	-1	-1	-1	-1	15	-1	5	8	17	6	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	9	-1	16	6	-1	19	-1	15	-1	10	5	-1	-1	-1	-1	17	-1	-1	7	-1
12	-1	11	-1	14	-1	6	20	17	-1	14	17	6	-1	6	-1	3	-1	-1	17	-1	14	9	1	10	16	9	2	-1	-1	-1	-1	16	-1	-1	-1	13	-1	-1	13	-1	-1	-1	10	-1	-1	14	9	-1	7	-1	19	-1	-1	-1	17	-1	-1	19	3	4	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	1	-1	9	17	-1	5	-1	-1	18	4	17	-1	-1	-1	11	-1	3	-1	20	-1	3	1	-1	-1	-1	-1	-1	-1	-1
15	3	-1	-1	-1	-1	15	-1	14	-1	13	9	-1	-1	11	-1	-1	-1	-1	6	13	-1	-1	12	17	-1	-1	16	20	-1	-1	12	8	-1	-1	1	-1	-1	2	-1	-1	-1	-1	-1	18	-1	16	-1	-1	5	-1	14	-1	-1	7	-1	2	2	-1	3	-1	10	2	-1	-1	3	18	11	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	1	-1	19	12	18	-1	-1	-1	-1	-1	-1	17	-1	-1	1	6	-1	17
-1	-1	14	7	20	-1	-1	-1	10	15	12	-1	-1	4	18	-1	-1	-1	16	-1	-1	14	-1	9	-1	-1	2	3	-1	-1	13	-1	-1	15	20	-1	-1	13	16	-1	-1	-1	-1	-1	7	13	7	20	-1	-1	-1	-1	-1	9	3	5	-1	-1	-1	-1	-1	-1	1	-1	5	16	-1	19	-1	14	-1	16	-1	-1	3	-1	16	-1	-1	15	-1	-1	12	15	-1	11	-1	-1	-1	-1	-1	14	-1	-1	-1	1	-1	-1	-1	5
-1	-1	11	-1	-1	-1	4	-1	-1	14	12	18	12	-1	14	-1	-1	-1	-1	9	-1	14	-1	4	-1	13	11	9	16	13	-1	-1	-1	-1	-1	9	-1	7	-1	20	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	19	17	-1	-1	-1	-1	8	2	-1	-1	-1	4	-1	7	17	12	-1	18	-1	-1	9	-1	7	4	-1	-1	3	9	-1	-1	4	13	15	14	-1	5	-1	2	-1	-1	-1	6	-1	-1	6	-1
12	-1	15	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	11	17	9	20	-1	-1	14	2	-1	-1	-1	-1	-1	16	3	-1	-1	-1	17	-1	-1	3	9	10	-1	-1	-1	1	3	2	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	16	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	8	16	-1	7	-1	-1	20	-1	-1	-1	-1	11	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	15	7	-1	-1	-1	6	-1	-1
-1	11	19	-1	11	-1	10	13	-1	-1	-1	17	8	10	-1	2	-1	19	19	15	6	1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	6	6	6	17	9	-1	11	7	6	20	-1	-1	-1	-1	-1	2	-1	7	-1	-1	9	-1	8	-1	17	3	-1	4	3	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	10	3	-1	-1	-1	-1	2	-1	11	-1	-1	-1	-1	-1	-1	3	-1	-1	8	-1	-1	17	5	-1	-1	-1
